metric,k,n,rate_%,wilson_lo_%,wilson_hi_%
has_signature,64891,7932654,0.818,0.8118,0.8243
encrypted,171871,7932654,2.1666,2.1565,2.1768
has_xfa,4346,7932654,0.0548,0.0532,0.0564
non_embedded_font,3201619,7932654,40.36,40.3259,40.3941
both_dates_present,6824543,7932654,86.031,86.0069,86.0551
modified_after_created_of_dated,2526949,6824543,37.0274,36.9912,37.0636
modified_after_created_of_all,2526949,7932654,31.855,31.8226,31.8875
incremental_updates_gt0,1932171,7932654,24.3572,24.3273,24.3871
