producer,files,share_%
PDFlib+PDI 9.2.0p5-i (Win32),1415,0.0178
iTextSharp™ 5.5.8 ©2000-2015 iText Group NV (AGPL-version); modified using iText,1415,0.0178
Soda PDF,1411,0.0178
Mac OS X 10.11.4 Quartz PDFContext,1411,0.0178
ABBYY FineReader 8.0 Professional Edition,1410,0.0178
Microsoft® Word för Office 365,1410,0.0178
Acrobat Distiller 10.1.9 (Windows),1410,0.0178
ABBYY FineReader 9.0 Professional Edition,1409,0.0178
Microsoft® Word a Microsoft 365-höz,1389,0.0175
iOS Version 14.6 (Build 18F72) Quartz PDFContext,1388,0.0175
PDFCreator 2.4.1.13,1386,0.0175
PDFCreator 2.1.1.0,1375,0.0173
PaperPort 11.0,1374,0.0173
mPDF 8.0.6,1372,0.0173
CVISION Technologies,1369,0.0173
Adobe Acrobat Pro 2017 17 Paper Capture Plug-in,1369,0.0173
macOS Version 10.15.6 (Build 19G73) Quartz PDFContext,1364,0.0172
TCPDF 6.0.098 (http://www.tcpdf.org),1363,0.0172
RICOH MP C4503,1361,0.0172
Xerox WorkCentre 7855,1357,0.0171
KONICA MINOLTA bizhub C250i,1354,0.0171
"dvipdfm 0.13.2c, Copyright © 1998, by Mark A. Wicks",1341,0.0169
Corel PDF Engine Version 17.6.0.1021,1336,0.0168
PDFCreator 2.3.2.6,1329,0.0168
LibreOffice 3.5,1326,0.0167
PDFlib+PDI 9.0.3p4 (Win32),1324,0.0167
iTextSharp™ 5.5.0 ©2000-2013 iText Group NV (AGPL-version); modified using iText,1320,0.0166
Acrobat Distiller 9.3.2 (Windows),1319,0.0166
iText® 5.5.10 ©2000-2015 iText Group NV (AGPL-version),1318,0.0166
mPDF 5.6,1317,0.0166
Acrobat Distiller 8.1.0 (Windows); modified using iTextSharp™ 5.5.13.1 ©2000-201,1314,0.0166
macOS Version 10.14.6 (Build 18G3020) Quartz PDFContext,1314,0.0166
chronorace - electronic timing via ABCpdf,1306,0.0165
itext-paulo (lowagie.com)[JDK1.1] - build 132,1305,0.0165
MFPImgLib V4.0,1297,0.0164
Acrobat Distiller 10.1.3 (Windows),1295,0.0163
Skia/PDF,1295,0.0163
Mac OS X 10.13.2 Quartz PDFContext,1295,0.0163
PDFlib 3.03 (Win32),1290,0.0163
macOS Version 10.14 (Build 18A391) Quartz PDFContext,1289,0.0162
Microsoft Reporting Services PDF Rendering Extension 13.0.0.0,1283,0.0162
Corel PDF Engine Version 16.0.0.707,1281,0.0161
Mac OS X 10.13.5 Quartz PDFContext,1278,0.0161
iTextSharp™ 5.5.7 ©2000-2015 iText Group NV (AGPL-version); modified using iText,1276,0.0161
QuarkXPress(R) 7.5,1274,0.0161
ScanSoft PDF Create! 5,1274,0.0161
macOS Version 10.16 (Build 20F71) Quartz PDFContext,1263,0.0159
pdfeTeX-1.21a,1261,0.0159
Acrobat Distiller 11.0 (Macintosh),1258,0.0159
PDFKit,1255,0.0158
Acrobat Distiller 9.3.3 (Windows),1253,0.0158
PDFCreator 3.2.2.13517,1250,0.0158
Adobe Acrobat 10.1.16 Paper Capture Plug-in,1250,0.0158
DynaPDF 2.5.0.530,1248,0.0157
macOS Version 11.2 (Build 20D64) Quartz PDFContext,1241,0.0156
Adobe Mac PDF Plug-in,1239,0.0156
Mac OS X 10.11.1 Quartz PDFContext,1234,0.0156
iTextSharp™ 5.5.11 ©2000-2017 iText Group NV (AGPL-version); modified using iTex,1233,0.0155
Apache FOP Version svn-trunk,1228,0.0155
PDFCreator 2.5.1.5,1226,0.0155
TCPDF 5.9.205 (http://www.tcpdf.org),1225,0.0154
Corel PDF Engine Version 22.1.1.523,1222,0.0154
TCPDF 6.0.072 (http://www.tcpdf.org),1216,0.0153
GPL Ghostscript 9.16,1216,0.0153
iTextSharp™ 5.5.9 ©2000-2016 iText Group NV (AGPL-version); modified using iText,1216,0.0153
Adobe Acrobat Pro 11.0.0,1214,0.0153
dompdf <5113accd> + CPDF,1214,0.0153
TCPDF 6.0.051 (http://www.tcpdf.org),1210,0.0153
Adobe Acrobat 6.0,1207,0.0152
Python PDF Library - http://pybrary.net/pyPdf/,1204,0.0152
Microsoft® Excel® pour Microsoft 365,1196,0.0151
PDFCreator 2.0.2.0,1196,0.0151
Xerox AltaLink C8045,1194,0.0151
Acrobat PDFWriter 4.0 for Windows,1193,0.015
CloudConvert,1192,0.015
Microsoft® Word dla Office 365,1188,0.015
JUST PDF 2,1184,0.0149
VersaLink C7025,1183,0.0149
Mac OS X 10.10.1 Quartz PDFContext,1182,0.0149
PuzzleFlow Solutions,1177,0.0148
macOS Version 10.14.6 (Build 18G6020) Quartz PDFContext,1177,0.0148
Adobe PDF Library 20.4.53,1173,0.0148
macOS Version 11.4 (assemblage 20F71) Quartz PDFContext,1170,0.0147
Skia/PDF m83,1166,0.0147
RAD PDF 3.19.2.2 - https://www.radpdf.com,1165,0.0147
3-Heights(TM) PDF Merge Split API 4.9.17.0 (http://www.pdf-tools.com),1164,0.0147
Mac OS X 10.5.6 Quartz PDFContext,1163,0.0147
PFU PDF Library 1.2.1,1162,0.0146
Xerox WorkCentre 7845,1161,0.0146
HyperGEAR PDF Make Library,1160,0.0146
Mac OS X 10.7.4 Quartz PDFContext,1160,0.0146
Xerox WorkCentre 7835,1158,0.0146
Corel PDF Engine Version 18.0.0.448,1150,0.0145
Apache FOP Version 0.95,1149,0.0145
Qt 5.9.5,1143,0.0144
iOS Version 14.4.2 (Build 18D70) Quartz PDFContext,1140,0.0144
Acrobat Distiller 10.1.16 (Macintosh),1140,0.0144
PDFCreator 2.5.2.5233,1138,0.0143
3-Heights(TM) PDF Producer 1.91.6.0 (http://www.pdf-tools.com),1137,0.0143
Qt 5.12.4,1133,0.0143
iTextSharp™ 5.5.10 ©2000-2016 iText Group NV (AGPL-version); modified using iTex,1131,0.0143
Mac OS X 10.7.3 Quartz PDFContext,1128,0.0142
Acrobat Distiller 9.4.5 (Windows),1127,0.0142
Adobe Acrobat 8.0 Paper Capture Plug-in,1118,0.0141
Mac OS X 10.13.1 Quartz PDFContext,1117,0.0141
macOS Version 10.14.6 (Build 18G6032) Quartz PDFContext,1117,0.0141
Recoded by LuraDocument PDF v2.28,1117,0.0141
Adobe Acrobat 7.08 Paper Capture Plug-in,1116,0.0141
Corel PDF Engine Version 21.3.0.755,1112,0.014
LibreOffice 4.1,1112,0.014
Microsoft® PowerPoint® 2013,1112,0.014
Acrobat 4.0 Import Plug-in for Windows,1112,0.014
Mac OS X 10.6.6 Quartz PDFContext,1112,0.014
Acrobat Web Capture 15.0,1112,0.014
macOS Version 10.14.6 (Build 18G7016) Quartz PDFContext,1111,0.014
Adobe Acrobat 7.0 Paper Capture Plug-in,1109,0.014
RICOH MP C4504ex,1106,0.0139
KONICA MINOLTA bizhub C554e,1103,0.0139
Adobe Acrobat Pro 10.0.0,1101,0.0139
PDFlib 5.0.3 (C++/Win32),1101,0.0139
FPDF 1.83,1099,0.0139
Mac OS X 10.5.5 Quartz PDFContext,1097,0.0138
DocuWorks PDF Build 11,1097,0.0138
QuarkXPress(R) 8.5,1096,0.0138
Acrobat Distiller 9.5.0 (Windows),1092,0.0138
Adobe PDF Library 20.12.73,1091,0.0138
Mac OS X 10.8.4 Quartz PDFContext,1090,0.0137
Acrobat Distiller 3.0 for Power Macintosh,1090,0.0137
Acrobat Web Capture 9.0,1089,0.0137
Eastman Kodak Company,1088,0.0137
Xerox AltaLink C8055,1086,0.0137
TCPDF 6.0.099 (http://www.tcpdf.org),1085,0.0137
QuarkXPress(R) 7.31,1084,0.0137
"Sub Systems, Inc.",1083,0.0137
"htmldoc 1.8.28 Copyright 1997-2006 Easy Software Products, All Rights Reserved.",1076,0.0136
KONICA MINOLTA bizhub 363,1075,0.0136
Softplicity,1072,0.0135
Adobe Acrobat 7.05 Paper Capture Plug-in,1072,0.0135
GPL Ghostscript 9.07; modified using iTextSharp™ 5.4.2 ©2000-2012 1T3XT BVBA (AG,1069,0.0135
macOS Version 10.14.6 (Build 18G87) Quartz PDFContext,1067,0.0135
KONICA MINOLTA bizhub C360,1065,0.0134
Adobe Acrobat 7.08 Image Conversion Plug-in,1062,0.0134
PDFlib+PDI 8.0.5p2 (C++/Win64),1060,0.0134
3-Heights(TM) Image to PDF Converter Shell 5.9.1.5 (http://www.pdf-tools.com),1060,0.0134
PDFTron PDFNet,1058,0.0133
Qt 4.8.0 (C) 2011 Nokia Corporation and/or its subsidiary(-ies),1050,0.0132
Xerox WorkCentre 7225,1049,0.0132
Acrobat Distiller 10.1.5 (Windows); modified using iText® 5.3.5 ©2000-2012 1T3XT,1049,0.0132
dompdf 0.8.4 + CPDF,1047,0.0132
macOS Version 10.14.6 (Build 18G2022) Quartz PDFContext,1047,0.0132
Adobe PDF Scan Library 2.3,1045,0.0132
Adobe Acrobat Pro 11.0.0 Paper Capture Plug-in,1044,0.0132
pdfmake,1040,0.0131
OmniPage Pro 15 http://www.scansoft.com,1036,0.0131
PFU PDF Library 2.0.0,1034,0.013
pdfTeX-1.40.9,1032,0.013
PDFCreator Free 3.4.1,1031,0.013
GPL Ghostscript 9.20,1026,0.0129
QuarkXPress(R) 9.54r1,1026,0.0129
RICOH MP C3004ex,1023,0.0129
macOS Version 10.16 (Build 20D91) Quartz PDFContext,1022,0.0129
PDFill PDF Editor 14.0,1019,0.0128
Mac OS X 10.11.2 Quartz PDFContext,1017,0.0128
iText® 5.5.6 ©2000-2015 iText Group NV (AGPL-version),1016,0.0128
iText 1.3 by lowagie.com (based on itext-paulo-153),1013,0.0128
Microsoft® Word pro Office 365,1008,0.0127
pdfplot12.hdi 12.0.51.0,1007,0.0127
Corel PDF Engine Version 14.0.0.701,1002,0.0126
Aspose.Words for .NET 17.4.0.0,999,0.0126
Adobe LiveCycle Designer ES 9.0,992,0.0125
Adobe PDF Library 10.1,991,0.0125
Adobe PDF Library 5.0.5,988,0.0125
mPDF 5.7.1,984,0.0124
OpenOffice.org 2.3,984,0.0124
Acrobat Distiller 21.0 (Macintosh),978,0.0123
QuarkXPress(tm) 6.1,977,0.0123
Acrobat Elements 8.0.0 (Windows),976,0.0123
PDFlib+PDI 9.0.5 (Win32),975,0.0123
Antenna House PDF Output Library 7.0.1600; modified using iTextSharp™ 5.5.9 ©200,975,0.0123
ABBYY PDF Transformer+,975,0.0123
OpenOffice.org 3.4,973,0.0123
FREE PDFill PDF and Image Writer,967,0.0122
List Creator,966,0.0122
SAMBox 1.1.53 (www.sejda.org),965,0.0122
iText® 5.5.8 ©2000-2015 iText Group NV (ONLINE PDF SERVICES; licensed version),963,0.0121
My Image Garden,961,0.0121
EDGAR PDF Generator,960,0.0121
iTextSharp 4.1.7 by 1T3XT,958,0.0121
Xerox WorkCentre 7545,958,0.0121
Mac OS X 10.8.3 Quartz PDFContext,957,0.0121
Apache FOP Version 2.2,957,0.0121
Adobe Acrobat Pro 9.5.5,956,0.0121
Adobe Photoshop Elements for Windows -- Image Conversion Plug-in,955,0.012
PDFCreator 3.0.2.8660,955,0.012
ABBYY FineReader PDF 15,954,0.012
Acrobat Distiller 10.1.0 (Windows),953,0.012
Acrobat Distiller 5.00 for Macintosh,953,0.012
KONICA MINOLTA bizhub C558,952,0.012
WinDev 19.0 (19.0.76.2),950,0.012
Qt 5.11.3,940,0.0118
PDFCreator 3.1.2.10844,939,0.0118
GPL Ghostscript 9.15,938,0.0118
Mac OS X 10.9.3 Quartz PDFContext,936,0.0118
Acrobat 3.0 Import Plug-in,935,0.0118
Adobe PDF library 6.66,934,0.0118
Ikinari PDF 3.0.0.3,934,0.0118
Elsevier Editorial Ltda.,932,0.0117
Mac OS X 10.7.2 Quartz PDFContext,931,0.0117
Acrobat Distiller 10.1.8 (Windows); modified using iText® 5.3.5 ©2000-2012 1T3XT,928,0.0117
Adobe Acrobat 11.0.23 Image Conversion Plug-in,928,0.0117
vspdflib (www.visagesoft.com),925,0.0117
iText® 5.5.13 ©2000-2018 iText Group NV (Government Publishing Office; licensed ,922,0.0116
Adobe Acrobat 11.0 Image Conversion Plug-in,919,0.0116
Microsoft® Publisher pour Microsoft 365,919,0.0116
FOP 0.20.5,917,0.0116
"htmldoc 1.8.27 Copyright 1997-2006 Easy Software Products, All Rights Reserved.",917,0.0116
EAP XML Legislator v.  2.2.0.0,917,0.0116
Skia/PDF m66,916,0.0115
Corel PDF Engine Version 20.0.0.633,916,0.0115
GPL Ghostscript  9.0; modified using iTextSharp 5.0.5 (c) 1T3XT BVBA,913,0.0115
pdfTeX-1.40.11,912,0.0115
QuarkXPress(R) 8.0,909,0.0115
OpenOffice 4.1.0,907,0.0114
Corel PDF Engine Version 3.0.0.739,906,0.0114
PDFlib+PDI 9.1.2p1-i (OS X/macOS),904,0.0114
macOS Version 10.14.6 (Build 18G4032) Quartz PDFContext,902,0.0114
QuarkXPress(R) 8.12,901,0.0114
RICOH MP C3004,899,0.0113
PPAlambic (Distiller),899,0.0113
Adobe Acrobat Pro DC (32-bit) 21.1.20150,899,0.0113
htmldoc 1.9.8 Copyright 2011-2019 by Michael R Sweet,899,0.0113
Aspose.Pdf for .NET 8.3.0,899,0.0113
iTextSharp™ 5.4.5 ©2000-2013 1T3XT BVBA (AGPL-version),895,0.0113
iText® 7.1.1 ©2000-2018 iText Group NV (AGPL-version),894,0.0113
AFPL Ghostscript 8.51,894,0.0113
convertonlinefree.com,893,0.0113
Adobe Acrobat Pro DC (32-bit) 21.1.20145,893,0.0113
Microsoft Office,891,0.0112
macOS Version 11.2.3 (assemblage 20D91) Quartz PDFContext,890,0.0112
Adobe LiveCycle Designer 11.0,890,0.0112
Adobe PDF Library 10.0.1; modified using iText 4.2.0 by 1T3XT,890,0.0112
RAD PDF 3.11.0.0 - https://www.radpdf.com,890,0.0112
Aspose.PDF for .NET 19.6,887,0.0112
macOS Version 10.14.1 (Build 18B75) Quartz PDFContext,886,0.0112
pdfplot14.hdi 14.00.049.000,886,0.0112
Corel PDF Engine Version 14.0.0.567,885,0.0112
iText® 7.1.9 ©2000-2019 iText Group NV (AGPL-version),885,0.0112
LibreOffice 4.0,884,0.0111
macOS Version 11.0.1 (Build 20B29) Quartz PDFContext,883,0.0111
Mac OS X 10.12.1 Quartz PDFContext,883,0.0111
RICOH MP 402SPF,882,0.0111
3-Heights™ PDF Toolbox API 6.12.0.6 (http://www.pdf-tools.com),881,0.0111
OpenOffice 4.0.0,880,0.0111
macOS バージョン11.4（ビルド20F71） Quartz PDFContext,879,0.0111
Acrobat Distiller 10.1.15 (Windows),879,0.0111
TCPDF 5.9.195 (http://www.tcpdf.org),878,0.0111
QuarkXPress(R) 7.3,873,0.011
PDFlib 4.0.1 (Win32),873,0.011
MiKTeX pdfTeX-1.40.17,873,0.011
RICOH MP C2003,871,0.011
Skia/PDF m77,868,0.0109
Adobe Acrobat.com CombinePDF Service 1.0.0,868,0.0109
Bullzip PDF Printer / www.bullzip.com / Freeware Edition \(not registered\),867,0.0109
Corel PDF Engine Version 19.0.0.325,867,0.0109
Document Capture,864,0.0109
GPL Ghostscript 9.23,863,0.0109
Skia/PDF m75,862,0.0109
Acrobat PDFWriter 4.05 for Windows,861,0.0109
RICOH IM C4500,860,0.0108
Acrobat Distiller 8.2.0 (Windows),859,0.0108
TCPDF 5.9.202 (http://www.tcpdf.org),858,0.0108
QuarkXPress(R) 8.51,858,0.0108
PDF Architect 4,855,0.0108
macOS Version 10.14.6 (Build 18G1012) Quartz PDFContext,855,0.0108
LibreOffice 3.4,855,0.0108
PDFCreator 2.4.0.213,854,0.0108
Adobe PDF Library 5.0.4,854,0.0108
Adobe PDF Scan Library 2.2,853,0.0108
Mac OS X 10.9.1 Quartz PDFContext,851,0.0107
TCPDF 6.4.2 (http://www.tcpdf.org),851,0.0107
PDFlib+PDI 9.1.2p1-i (Win32),849,0.0107
Adobe LiveCycle PDF Generator,849,0.0107
Haru Free PDF Library 2.4.0dev,849,0.0107
Microsoft® Excel® voor Microsoft 365,846,0.0107
Microsoft® PowerPoint® für Office 365,843,0.0106
Skia/PDF m76,843,0.0106
TCPDF 6.3.1 (http://www.tcpdf.org),843,0.0106
mPDF 7.1.6,842,0.0106
EVO HTML to PDF Converter 5.19,841,0.0106
Adobe Acrobat Pro DC 18 Paper Capture Plug-in,840,0.0106
Acrobat Distiller 10.1.12 (Windows),839,0.0106
iText® 5.5.2 ©2000-2014 iText Group NV (ONLINE PDF SERVICES; licensed version),838,0.0106
Qt 5.3.2,837,0.0106
macOS Version 10.15.1 (Build 19B88) Quartz PDFContext,836,0.0105
Neevia Document Converter Pro v7.1.0.116 (http://neevia.com),834,0.0105
PDF Candy,833,0.0105
Acrobat Distiller 3.02,832,0.0105
mPDF 5.0,831,0.0105
Antenna House PDF Output Library 2.6.0 (Windows),825,0.0104
OpenOffice 4.1.9,824,0.0104
iTextSharp™ 5.5.13 ©2000-2018 iText Group NV (AGPL-version),824,0.0104
Microsoft® Access® 2010,823,0.0104
WorkCentre 7120,822,0.0104
Adobe Acrobat 8.1 Image Conversion Plug-in,821,0.0103
wPDF4 by WPCubed GmbH,820,0.0103
ScanSoft PDF Create! 3,818,0.0103
macOS Versie 11.4 (build 20F71) Quartz PDFContext,818,0.0103
Corel PDF Engine Version 22.0.0.412,815,0.0103
Adobe Acrobat Pro DC 20.13.20074,815,0.0103
pdfplot15.hdi 15.01.047.000,815,0.0103
Acrobat Distiller 10.0.1 (Windows),813,0.0102
XEP 4.30.915,812,0.0102
mPDF 7.1.0,812,0.0102
macOS Version 10.14.6 (Build 18G5033) Quartz PDFContext,808,0.0102
PaperPort 12,806,0.0102
iTextSharp™ 5.5.13.1 ©2000-2019 iText Group NV (AGPL-version),806,0.0102
xdvipdfmx (20200315),804,0.0101
KONICA MINOLTA bizhub C353,803,0.0101
Skia/PDF m73,802,0.0101
QuarkXPress(R) 12.23,797,0.01
Microsoft® Excel® 2013,796,0.01
PDFCreator 2.0.1.0,793,0.01
Microsoft® Word 2010 Trial,792,0.01
PDFsharp 1.50.4000-netstandard (https://github.com/ststeiger/PdfSharpCore),791,0.01
FlexCel Studio for the .NET Framework v.6.6.0.0,789,0.0099
Acrobat Distiller 10.0.0 (Macintosh),788,0.0099
QuarkXPress(R) 9.3,786,0.0099
Mac OS X 10.12 Quartz PDFContext,785,0.0099
Skia/PDF m72,783,0.0099
Corel PDF Engine Version 11.633,783,0.0099
Acrobat Distiller 6.0 for Macintosh,779,0.0098
OpenEdition PDF Server v2,777,0.0098
axesPDF® for Word,776,0.0098
xhtml2pdf <https://github.com/xhtml2pdf/xhtml2pdf/>,776,0.0098
PDFlib 4.0.3 + PDI (SunOS 5.8),775,0.0098
LibreOffice 3.6,774,0.0098
Xerox WorkCentre 5325,774,0.0098
EFI Cyclone,772,0.0097
GPL Ghostscript 8.62,772,0.0097
iText® 7.1.13 ©2000-2020 iText Group NV (AGPL-version); modified using iText® 7.,772,0.0097
Acrobat Distiller 10.1.14 (Windows),772,0.0097
Adobe PDF Library 20.1.68,769,0.0097
Mac OS X 10.12.2 Quartz PDFContext,769,0.0097
Microsoft® PowerPoint® per Microsoft 365,763,0.0096
Skia/PDF m82,762,0.0096
3-Heights(TM) PDF Optimization Shell 4.7.19.0 (http://www.pdf-tools.com),761,0.0096
Kodak Alaris Inc.,761,0.0096
RICOH MP C2011,760,0.0096
Adobe PSL 1.0e for Canon,757,0.0095
"5,0,0,255 1236832",754,0.0095
Adobe Acrobat 8.1 Paper Capture Plug-in,752,0.0095
RICOH MP C4504,751,0.0095
AFPL Ghostscript 8.13; modified using iText 2.1.7 by 1T3XT,751,0.0095
mPDF 5.3,751,0.0095
Xerox WorkCentre 5335,751,0.0095
Foxit Reader PDF Printer Version 6.1.0.0923,750,0.0095
Mac OS X 10.6.2 Quartz PDFContext,748,0.0094
mPDF 7.0.0,747,0.0094
Acrobat Distiller 15.0 (Macintosh),745,0.0094
Skia/PDF m69,744,0.0094
Neevia Document Converter Pro v6.9 (http://neevia.com),744,0.0094
KONICA MINOLTA bizhub 227,744,0.0094
SAMBox 1.1.41 (www.sejda.org),742,0.0094
PDFlib PLOP 4.0p4 (.NET/Win64),741,0.0093
iTextSharp™ 5.5.6 ©2000-2014 iText Group NV (AGPL-version),741,0.0093
Microsoft® Publisher 2013,739,0.0093
iText® 5.5.13 ©2000-2018 iText Group NV (AGPL-version),738,0.0093
Adobe PDF Library 20.1.73,737,0.0093
"macOS Version 11.4 (Build 20F71) Quartz PDFContext, AppendMode 1.1",737,0.0093
Acrobat Distiller 19.0 (Macintosh),737,0.0093
PDFCreator Free 3.4.0,736,0.0093
RICOH IM C2000,734,0.0093
macOS Versione 11.4 (Build 20F71) Quartz PDFContext,733,0.0092
Adobe PDF library 5.00,732,0.0092
GPL Ghostscript 8.60,731,0.0092
iTextSharp™ 5.5.13.2 ©2000-2020 iText Group NV (AGPL-version),728,0.0092
Microsoft® Publisher für Microsoft 365,728,0.0092
PDF Architect,727,0.0092
Apache FOP Version 2.0,727,0.0092
iTextSharp 5.2.1 (c) 1T3XT BVBA,727,0.0092
iTextSharp 5.0.5 (c) 1T3XT BVBA,726,0.0092
Foxit Reader PDF Printer Version 6.0.3.0513,725,0.0091
OpenOffice.org 2.2,725,0.0091
doPDF Ver 7.0 Build 323 (Windows XP Professional Edition  (Service Pack 2) - Ver,725,0.0091
Microsoft® Access® 2016,724,0.0091
Adobe Acrobat 8.1.2,724,0.0091
Xerox AltaLink C8035,724,0.0091
MiKTeX pdfTeX-1.40.12,722,0.0091
Acrobat PDFWriter 3.0 for Windows,719,0.0091
tFPDF 1.25,718,0.0091
iText 1.5.2 (release for Eclipse/BIRT by lowagie.com),717,0.009
Acrobat Distiller 8.2.2 (Windows),717,0.009
3-Heights(TM) PDF Optimization Shell 4.6.23.0 (http://www.pdf-tools.com),715,0.009
Adobe Acrobat 7.1 Image Conversion Plug-in,714,0.009
Apache FOP Version 2.1,714,0.009
sspdflib 1.0 http://www.scansoft.com,714,0.009
Adobe LiveCycle Designer ES 8.2,714,0.009
DynaPDF 3.0.32.82,712,0.009
GNU Ghostscript 7.07,712,0.009
ScanSoft OmniPage 16,712,0.009
iTextSharp™ 5.5.8 ©2000-2015 iText Group NV (AGPL-version),712,0.009
MiKTeX pdfTeX-1.40.14,711,0.009
Adobe Acrobat 8.12 Paper Capture Plug-in,707,0.0089
HP Digital Sending Device,706,0.0089
http://www.convertapi.com,704,0.0089
Acrobat Distiller Command 3.01 for Solaris 2.3 and later (SPARC),703,0.0089
Microsoft® Word 2013; modified using iText® 5.5.11 ©2000-2017 iText Group NV (AG,702,0.0088
Foxit Mobile PDF,701,0.0088
DynamicPDF for Java v4.0.3,699,0.0088
AFPL Ghostscript 6.50,699,0.0088
Antenna House PDF Output Library 6.5.1231 (Linux64),699,0.0088
Adobe Acrobat 9.0.0,696,0.0088
PDF Architect 5,695,0.0088
"PDFTron PDFNet, V5.9",694,0.0087
PDFsharp 1.2.1269-g (www.pdfsharp.com),693,0.0087
TCPDF 5.9.179 (http://www.tcpdf.org),693,0.0087
Mac OS X 10.5.7 Quartz PDFContext,692,0.0087
QuarkXPress(R) 16.33,691,0.0087
Debenu Quick PDF Library 10.14 (www.debenu.com),690,0.0087
Aspose.Words for Java 17.5,690,0.0087
pisa HTML to PDF <http://www.htmltopdf.org>,689,0.0087
api.ilovepdf.com,689,0.0087
PDFlib Lite 7.0.5p3 (PHP5/Linux-x86_64),688,0.0087
Skia/PDF m71,687,0.0087
KONICA MINOLTA bizhub C253,686,0.0086
OpenOffice 4.1.8,685,0.0086
Adobe PDF Library 15.0; modified using iText 4.2.0 by 1T3XT,684,0.0086
PDFlib+PDI 7.0.2p3 (Win32),684,0.0086
TCPDF 6.0.061 (http://www.tcpdf.org),683,0.0086
iText® 5.5.11 ©2000-2017 iText Group NV (AGPL-version),683,0.0086
Microsoft® Visio® 2016,682,0.0086
Corel PDF Engine Version 9.654,682,0.0086
PDFCreator Free 4.0.3,681,0.0086
3-Heights™ PDF Merge Split Shell 6.12.1.11 (http://www.pdf-tools.com),680,0.0086
PDFsharp 1.31.1789-g (www.pdfsharp.com),680,0.0086
Mac OS X 10.6.3 Quartz PDFContext,677,0.0085
SAS Institute Inc.,677,0.0085
RICOH IM C3000,675,0.0085
iText® 5.4.5 ©2000-2013 1T3XT BVBA (AGPL-version),674,0.0085
KONICA MINOLTA bizhub C658,674,0.0085
Microsoft Reporting Services PDF Rendering Extension 14.0.0.0,673,0.0085
macOS Versione 11.2.3 (Build 20D91) Quartz PDFContext,673,0.0085
Microsoft® PowerPoint® pour Office 365,672,0.0085
cairo 1.15.10 (http://cairographics.org),672,0.0085
"XnView, http://www.xnview.com",671,0.0085
EVO HTML to PDF Converter 6.11,671,0.0085
Corel PDF Engine Version 21.0.0.593,671,0.0085
OpenPDF,669,0.0084
Acrobat 4.05 Import Plug-in for Windows,669,0.0084
KONICA MINOLTA bizhub 283,667,0.0084
pdfplot16.hdi 16.00.047.00000,667,0.0084
ECAT,667,0.0084
PDFlib+PDI 9.1.2p4 (C++/Win64),666,0.0084
Adobe Acrobat 11.0.23,664,0.0084
Skia/PDF m74,663,0.0084
Adobe Acrobat Pro 10.1.1,663,0.0084
iTextSharp 5.1.3 (c) 1T3XT BVBA,662,0.0083
Microsoft® Word pre Microsoft 365,662,0.0083
Gnostice eDocEngine V3.0.4.266,659,0.0083
"JagPDF 1.5.0, http://jagpdf.org",659,0.0083
Corel PDF Engine Version 16.4.1.1281,658,0.0083
Mac OS X 10.10 Quartz PDFContext,657,0.0083
ScanSoft PDF Create! 6,656,0.0083
OpenOffice 4.1.4,656,0.0083
QuarkXPress(R) 8.02,655,0.0083
