producer,files,share_%
3-Heights(TM) PDF Optimization Shell 5.9.1.5 (http://www.pdf-tools.com),7274,0.0917
Skia/PDF m90,7256,0.0915
IJ Scan Utility,7169,0.0904
Microsoft® Word per Microsoft 365,7086,0.0893
"dompdf 0.8.6
 + CPDF",7072,0.0892
Acrobat Distiller 4.0 for Windows,7026,0.0886
Acrobat Distiller 19.0 (Windows),6910,0.0871
PrimoPDF,6891,0.0869
Skia/PDF m91,6865,0.0865
GPL Ghostscript 8.61,6795,0.0857
GPL Ghostscript 9.14,6753,0.0851
iTextSharp™ 5.5.13 ©2000-2018 iText Group NV (AGPL-version); modified using iTex,6641,0.0837
Microsoft® PowerPoint® for Office 365,6538,0.0824
Adobe PDF Library 21.5.90,6511,0.0821
GPL Ghostscript 8.63,6498,0.0819
LibreOffice 6.4,6432,0.0811
Adobe PDF Library 6.0,6330,0.0798
wkhtmltopdf,6318,0.0796
pdfTeX-1.40.17,6260,0.0789
ilovepdf.com,6087,0.0767
JUST PDF 3,5984,0.0754
Mac OS X 10.7.5 Quartz PDFContext,5933,0.0748
LibreOffice 6.0,5896,0.0743
Online2PDF.com,5895,0.0743
macOS Version 10.15.7 (Build 19H524) Quartz PDFContext,5854,0.0738
Qt 4.8.5 (C) 2011 Nokia Corporation and/or its subsidiary(-ies),5787,0.073
TCPDF 5.0.002 (http://www.tcpdf.org) (TCPDF),5737,0.0723
GPL Ghostscript  9.0,5674,0.0715
macOS Version 10.15.7 (Build 19H2) Quartz PDFContext,5629,0.071
GPL Ghostscript 9.53.3,5613,0.0708
Mac OS X 10.5.8 Quartz PDFContext,5610,0.0707
LibreOffice 5.1,5592,0.0705
TCPDF 6.2.6 (http://www.tcpdf.org),5548,0.0699
macOS Version 11.3.1 (Build 20E241) Quartz PDFContext,5461,0.0688
ABBYY FineReader 12,5459,0.0688
Adobe Acrobat 9.0 Paper Capture Plug-in,5337,0.0673
3-Heights(TM) PDF Security Shell 4.8.25.2 (http://www.pdf-tools.com),5271,0.0664
Microsoft® Word para Office 365,5211,0.0657
Skia/PDF m89,5138,0.0648
LibreOffice 7.0,5055,0.0637
Microsoft® Publisher 2019,4961,0.0625
FPDF 1.6,4956,0.0625
Adobe PDF Library 21.1.174,4908,0.0619
Nuance PDF Create,4897,0.0617
FPDF 1.82,4880,0.0615
Microsoft® Excel® for Office 365,4754,0.0599
GNU Ghostscript 7.05,4727,0.0596
Apache FOP Version 1.1,4718,0.0595
Adobe PDF Library 20.6.74,4669,0.0589
AFPL Ghostscript 8.54,4652,0.0586
Epson Scan 2,4502,0.0568
pdfTeX-1.40.19,4415,0.0557
pdfTeX-1.40.20,4410,0.0556
Acrobat Distiller 4.0 for Macintosh,4404,0.0555
iTextSharp 4.1.6 by 1T3XT,4342,0.0547
dompdf 0.8.2 + CPDF,4288,0.0541
OpenOffice.org 3.2,4272,0.0539
Microsoft® Word pour Office 365,4245,0.0535
StreamServe Communication Server 16.3.0 GA Build 387 (64 bit),4245,0.0535
iText® 5.3.0 ©2000-2012 1T3XT BVBA,4243,0.0535
Adobe PDF library 9.00,4218,0.0532
intsig.com pdf producer,4216,0.0531
macOS Version 10.15.7 (Build 19H1217) Quartz PDFContext,4207,0.053
OpenOffice.org 3.3,4203,0.053
Mac OS X 10.8.5 Quartz PDFContext,4181,0.0527
LibreOffice 6.1,4180,0.0527
TCPDF 6.2.11 (http://www.tcpdf.org),4171,0.0526
dompdf <6782abfc> + CPDF,4155,0.0524
mPDF 7.1.5,4154,0.0524
Adobe PDF Library 20.12.80,4150,0.0523
Acrobat Distiller 7.0.5 for Macintosh,4140,0.0522
LibreOffice 7.1,4139,0.0522
Adobe PDF Library 19.12.66,4113,0.0518
Adobe PSL 1.1e for Canon,3987,0.0503
mPDF 5.7,3959,0.0499
MP Navigator EX,3956,0.0499
mPDF 7.1.9,3918,0.0494
pdfTeX-1.40.16,3889,0.049
GPL Ghostscript 9.02,3885,0.049
PDF Printer / www.bullzip.com / FG / Freeware Edition (max 10 users),3874,0.0488
Microsoft® Publisher for Office 365,3811,0.048
macOS Version 11.1 (Build 20C69) Quartz PDFContext,3761,0.0474
OpenOffice 4.1.3,3727,0.047
GNU Ghostscript 7.06,3690,0.0465
ABBYY FineReader 11,3670,0.0463
ABBYY FineReader 10,3653,0.0461
Microsoft® Word voor Office 365,3636,0.0458
Microsoft® Word dla Microsoft 365,3631,0.0458
AFPL Ghostscript 8.14,3601,0.0454
macOS Version 10.14.6 (Build 18G103) Quartz PDFContext,3594,0.0453
GPL Ghostscript 9.21,3593,0.0453
Microsoft® Word för Microsoft 365,3574,0.0451
Adobe PDF Library 5.0,3569,0.045
Acrobat PDFWriter 5.0 for Windows NT,3542,0.0447
Adobe Photoshop for Windows,3533,0.0445
OpenOffice 4.1.5,3528,0.0445
macOS Version 10.15.7 (Build 19H1030) Quartz PDFContext,3524,0.0444
Adobe PDF Scan Library 3.1,3498,0.0441
Adobe PDF Library 19.21.90,3448,0.0435
macOS Version 10.15.6 (Build 19G2021) Quartz PDFContext,3443,0.0434
OpenOffice 4.1.1,3442,0.0434
Adobe PDF Library 19.21.79,3441,0.0434
Acrobat Distiller 18.0 (Windows),3384,0.0427
Adobe Acrobat Pro DC (32-bit) 21 Paper Capture Plug-in,3379,0.0426
Bullzip PDF Printer / www.bullzip.com / Freeware Edition,3369,0.0425
ActiveReports 8,3357,0.0423
Adobe Acrobat 9.0 Image Conversion Plug-in,3355,0.0423
OpenOffice 4.1.7,3331,0.042
Acrobat Distiller 4.05 for Macintosh,3325,0.0419
Adobe PDF library 8.00,3323,0.0419
mPDF 8.0.10,3270,0.0412
OpenOffice 4.1.2,3259,0.0411
pdfTeX-1.40.14,3249,0.041
macOS Version 10.15.5 (Build 19F101) Quartz PDFContext,3246,0.0409
Mac OS X 10.4.11 Quartz PDFContext,3227,0.0407
TCPDF 6.0.012 (http://www.tcpdf.org),3223,0.0406
Skia/PDF m91 Google Docs Renderer,3205,0.0404
AFPL Ghostscript 8.53,3183,0.0401
LibreOffice 4.2,3181,0.0401
Apache FOP Version 2.3,3177,0.04
Adobe PDF Library 19.12.68,3176,0.04
Acrobat Distiller 10.1.1 (Windows),3176,0.04
PDFsharp 1.50.4589 (www.pdfsharp.com),3172,0.04
OmniPage 17,3162,0.0399
