file,thread,status,bytes,producer,creator,creation_date,n_printed_dates,min_gap_days,cues_hit,institutional,desktop,unsigned,sig_A,sig_B,sig_C,score
001378.pdf,001,ok,877357,Acrobat Distiller 5.0.5 (Windows),PScript5.dll Version 5.2,2004-02-26,1,82,,False,True,True,0,2,0,2
001383.pdf,001,ok,33303,Acrobat Distiller 4.05 for Windows,,2004-02-25,2,3178,,False,True,True,0,2,0,2
001385.pdf,001,ok,950009,Acrobat Distiller 5.0.5 for Macintosh,QuarkXPress.: AdobePS 8.7.2 (104),2004-06-14,3,2043,,False,True,True,0,2,0,2
001514.pdf,001,ok,41986,Acrobat Distiller 7.0 (Windows),Acrobat PDFMaker 7.0 for Word,2008-10-23,1,111,,False,True,True,0,2,0,2
001644.pdf,001,ok,4068940,Acrobat Distiller 6.0 (Windows),PScript5.dll Version 5.2.2,2005-10-05,3,1486,,False,True,True,0,2,0,2
001647.pdf,001,ok,4078399,Acrobat Distiller 6.0 (Windows),PScript5.dll Version 5.2.2,2005-06-16,3,1375,,False,True,True,0,2,0,2
001658.pdf,001,ok,420480,,,2008-10-20,1,157,,False,False,True,0,2,0,2
001659.pdf,001,ok,443825,,,2008-11-12,1,55,,False,False,True,0,2,0,2
001669.pdf,001,ok,2113367,,XPP,2008-04-04,1,172,,False,False,True,0,2,0,2
001672.pdf,001,ok,272187,iText by lowagie.com (r1.01;p126),,2007-12-23,2,723,,False,False,True,0,2,0,2
001673.pdf,001,ok,61079,Acrobat Distiller 8.0.0 (Windows),PScript5.dll Version 5.2.2,2008-05-14,5,121,,False,True,True,0,2,0,2
001677.pdf,001,ok,821984,Acrobat Distiller 5.0.5 (Windows),ACOMP.exe V010   23-MAR-99,2003-09-05,6,261,,False,True,True,0,2,0,2
001679.pdf,001,ok,161190,Acrobat Distiller 6.0 (Windows),Acrobat PDFMaker 6.0 for Word,2006-04-26,7,62,,False,True,True,0,2,0,2
001483.pdf,001,ok,103660,Apogee Create Series3 v1.0,,2002-07-10,3,122,medical:microscopic examination,True,False,True,0,2,0,2
001487.pdf,001,ok,18055,Acrobat PDFWriter 4.0 for Windows,C:\web_Stuff\bldmem\8_5_94.w51,2000-06-28,3,2155,,False,True,True,0,2,0,2
001493.pdf,001,ok,232281,Acrobat Distiller 6.0.1 (Windows),Acrobat PDFMaker 6.0 for PowerPoint,2005-01-05,2,71,,False,True,True,0,2,0,2
001285.pdf,001,ok,2386423,Acrobat Distiller 6.0 (Windows),PScript5.dll Version 5.2,2008-02-27,10,365,,False,True,True,0,2,0,2
001288.pdf,001,ok,337954,Acrobat Distiller 6.0 (Windows),PScript5.dll Version 5.2,2005-09-20,2,1589,,False,True,True,0,2,0,2
001290.pdf,001,ok,2340018,Acrobat Distiller 7.0 (Windows),3B2 Total Publishing System 8.07e/W,2008-01-18,3,195,,False,True,True,0,2,0,2
001294.pdf,001,ok,129976,Acrobat Distiller Daemon 3.01 for Solaris 2.3 and later (SPARC),Penta Systems International Inc.,1999-07-27,7,264,,False,True,True,0,2,0,2
001299.pdf,001,ok,67267,Acrobat Distiller 5.0 (Windows),"Interleaf, Inc.",2001-12-03,7,1280,,False,True,True,0,2,0,2
001301.pdf,001,ok,1062778,Acrobat Distiller 5.0.5 (Windows),PScript5.dll Version 5.2,2004-11-24,1,1176,,False,True,True,0,2,0,2
001305.pdf,001,ok,2115058,Acrobat Distiller 7.0 (Windows),PScript5.dll Version 5.2.2,2008-07-01,2,383,,False,True,True,0,2,0,2
001684.pdf,001,ok,234509,Acrobat Distiller 7.0.5 (Windows),PScript5.dll Version 5.2.2,2008-11-18,4,506,,False,True,True,0,2,0,2
001693.pdf,001,ok,223809,Acrobat Distiller 5.0.5 (Windows),ADOBEPS4.DRV Version 4.52,2003-01-09,19,80,,False,True,True,0,2,0,2
001878.pdf,001,ok,134833,Acrobat Distiller 7.0.5 (Windows),PScript5.dll Version 5.2,2007-03-28,23,618,,False,True,True,0,2,0,2
001938.pdf,001,ok,95523,Hyf PDF Output Library 2.2.3 (Solaris),XSL Formatter V3.2 MR3,2008-11-03,2,263,,False,False,True,0,2,0,2
001943.pdf,001,ok,50122,Acrobat Distiller 4.0 for Macintosh,Adobe PageMaker 6.5,2006-04-14,3,1555,,False,True,True,0,2,0,2
001950.pdf,001,ok,297083,Acrobat Distiller 6.0.1 (Windows),Acrobat PDFMaker 6.0 for Word,2008-06-18,4,2570,,False,True,True,0,2,0,2
001951.pdf,001,ok,94907,Acrobat PDFWriter 2.01 for Windows,A:CHAP4.WPD,1996-04-03,2,507,,False,True,True,0,2,0,2
001953.pdf,001,ok,47637,Acrobat Distiller 5.0.5 (Windows),,2003-03-28,8,61,,False,True,True,0,2,0,2
001957.pdf,001,ok,413334,Acrobat Distiller 4.0 for Windows,ADOBEPS4.DRV Version 4.10,2001-11-28,1,2634,,False,True,True,0,2,0,2
001964.pdf,001,ok,80062,Rumborak PDF-Writer Plus 1.0 RC9 / GS 8.50,PScript5.dll Version 5.2.2,2008-04-28,2,119,,False,False,True,0,2,0,2
001977.pdf,001,ok,278229,Acrobat Distiller 7.0.5 (Windows),Acrobat PDFMaker 7.0.7 for Word,2008-01-15,4,261,,False,True,True,0,2,0,2
001985.pdf,001,ok,594339,Acrobat Distiller 8.1.0 (Windows),PScript5.dll Version 5.2.2,2008-05-27,1,92,,False,True,True,0,2,0,2
001987.pdf,001,ok,363901,Acrobat PDFWriter 5.0 for Windows NT,Third_year_Review_Final - Microsoft Word,2006-10-23,2,1365,,False,True,True,0,2,0,2
001988.pdf,001,ok,77405,Acrobat Distiller 7.0 (Windows),PScript5.dll Version 5.2,2007-11-01,5,489,,False,True,True,0,2,0,2
001780.pdf,001,ok,325797,Acrobat Distiller 4.0 for Windows,,2001-08-06,1,459,,False,True,True,0,2,0,2
001815.pdf,001,ok,530585,Acrobat Distiller 7.0.5 (Windows),PScript5.dll Version 5.2.2,2007-05-30,2,60,,False,True,True,0,2,0,2
016133.pdf,016,ok,33895,Acrobat PDFWriter 4.0 for Windows,J:\wwwstaging\atr2\...\3993.wp   [PFP#1292472009],1999-12-29,3,100,,False,True,True,0,2,0,2
016136.pdf,016,ok,173838,Acrobat Distiller 6.0.1 (Windows),PScript5.dll Version 5.2,2005-05-24,1,76,,False,True,True,0,2,0,2
016145.pdf,016,ok,365418,"dvipdfm 0.13.2b, Copyright © 1998, by Mark A. Wicks", TeX output 2002.01.30:1943,2002-01-30,1,2670,,False,False,True,0,2,0,2
016012.pdf,016,ok,51414,Acrobat Distiller 4.0 for Windows,,2006-09-19,2,1522,,False,True,True,0,2,0,2
016429.pdf,016,ok,2168324,Acrobat Distiller 5.0.5 (Windows),PScript5.dll Version 5.2,2003-09-02,1,510,,False,True,True,0,2,0,2
016123.pdf,016,ok,394936,Acrobat Distiller 2.1 for Windows,,1996-09-05,2,949,,False,True,True,0,2,0,2
016124.pdf,016,ok,2454174,Acrobat Distiller 7.0 (Windows),Elsevier,2007-02-13,24,164,,False,True,True,0,2,0,2
016128.pdf,016,ok,217593,Adobe Acrobat 9.0 Paper Capture Plug-in,Adobe Acrobat 9.0,2008-08-12,1,8157,,False,True,True,0,2,0,2
016130.pdf,016,ok,1036842,Apogee Series3 Pilot v1.0.1u2,,2006-11-30,2,277,,False,False,True,0,2,0,2
016483.pdf,016,ok,255346,Acrobat Distiller 6.0.1 (Windows),PScript5.dll Version 5.2.2,2007-01-31,4,238,,False,True,True,0,2,0,2
016552.pdf,016,ok,485828,Acrobat Distiller 6.0.1 (Windows),PScript5.dll Version 5.2.2,2007-02-20,1,581,,False,True,True,0,2,0,2
016555.pdf,016,ok,208894,JAWS PDFLib,activePDF Server,2003-08-22,18,353,,False,False,True,0,2,0,2
016611.pdf,016,ok,35106,Acrobat Distiller 5.0.5 (Windows),,2002-06-12,7,55,,False,True,True,0,2,0,2
016612.pdf,016,ok,54617,Acrobat Distiller 5.0.5 for Macintosh,ACOMP.exe   WinVer 1c12  Nov 04 2004,2005-10-14,2,474,,False,True,True,0,2,0,2
016460.pdf,016,ok,281814,Acrobat Distiller 8.1.0 (Windows),Acrobat PDFMaker 8.1 for Word,2007-11-02,1,399,,False,True,True,0,2,0,2
016462.pdf,016,ok,66003,Acrobat PDFWriter 2.11 for Windows,Microsoft Word ,1997-07-09,3,105,,False,True,True,0,2,0,2
016472.pdf,016,ok,194689,Acrobat Distiller 4.05 for Windows,Elsevier,2004-10-13,1,87,,False,True,True,0,2,0,2
016475.pdf,016,ok,561899,Acrobat Distiller 6.0 (Windows),Acrobat PDFMaker 6.0 for Word,2004-01-08,6,602,,False,True,True,0,2,0,2
016433.pdf,016,ok,4964287,Acrobat Distiller 5.0.5 (Windows),ADOBEPS4.DRV Version 4.51,2002-12-06,6,449,,False,True,True,0,2,0,2
016438.pdf,016,ok,320805,Acrobat Distiller 7.0.5 (Windows),Acrobat PDFMaker 7.0.7 for Word,2007-11-07,1,825,,False,True,True,0,2,0,2
016444.pdf,016,ok,740119,Acrobat Distiller 7.0 (Windows),Acrobat PDFMaker 7.0 for Word,2007-08-06,1,56,,False,True,True,0,2,0,2
016445.pdf,016,ok,201459,Acrobat Distiller 8.1.0 (Windows),Acrobat PDFMaker 8.1 for Word,2008-04-10,3,49,,False,True,False,0,2,0,2
016446.pdf,016,ok,41827,Acrobat Distiller 8.1.0 (Windows),Acrobat PDFMaker 8.1 for Word,2008-09-23,1,73,,False,True,True,0,2,0,2
016447.pdf,016,ok,1577301,Acrobat Distiller 3.0 for Windows,Adobe PageMaker 6.52,1998-12-16,1,97,,False,True,True,0,2,0,2
016454.pdf,016,ok,1185185,Mac OS X 10.4.6 Quartz PDFContext,,2006-05-09,5,448,,False,False,True,0,2,0,2
016455.pdf,016,ok,255936,Acrobat Distiller 7.0.5 (Windows),Acrobat PDFMaker 7.0.7 for Word,2006-12-15,1,2023,,False,True,True,0,2,0,2
016457.pdf,016,ok,2485460,Acrobat Distiller 7.0.5 (Windows),Acrobat PDFMaker 7.0.5 for PowerPoint,2007-05-03,1,556,,False,True,True,0,2,0,2
016631.pdf,016,ok,334600,Acrobat Distiller 6.0 (Windows),PScript5.dll Version 5.2.2,2009-01-09,1,403,,False,True,True,0,2,0,2
016639.pdf,016,ok,89933,Acrobat Distiller 8.1.0 (Windows),PScript5.dll Version 5.2,2009-01-21,14,73,,False,True,True,0,2,0,2
016653.pdf,016,ok,873573,,,2007-09-04,1,3726,,False,False,True,0,2,0,2
016738.pdf,016,ok,81670,Acrobat Distiller 6.0 (Windows),Worstation ArcInfo 8.1,2004-05-24,1,875,,False,True,True,0,2,0,2
016739.pdf,016,ok,58353,Acrobat Distiller 6.0.1 (Windows),PScript5.dll Version 5.2,2007-01-29,18,53,,False,True,True,0,2,0,2
016743.pdf,016,ok,44912,Acrobat PDFWriter 3.02 for Windows NT,Microsoft Word,1999-02-16,23,1441,,False,True,True,0,2,0,2
016746.pdf,016,ok,3716,www.adlibsys.com:EXD3145-W98,Text Document,2004-04-03,1,164,,False,False,True,0,2,0,2
016747.pdf,016,ok,153470,Acrobat Distiller 6.0.1 (Windows),Acrobat PDFMaker 6.0 for Word,2008-07-21,1,1483,,False,True,True,0,2,0,2
016748.pdf,016,ok,3687,www.adlibsys.com:EXD3145-W98,Text Document,2004-03-03,1,292,,False,False,True,0,2,0,2
016750.pdf,016,ok,472432,Acrobat Distiller 4.0 for Windows,AdobePS5.dll Version 5.0.1,2000-08-21,1,404,,False,True,True,0,2,0,2
016753.pdf,016,ok,2326223,Acrobat PDFWriter 4.05 for Windows,Slater-DW.doc - Microsoft Word,2001-08-07,3,489,,False,True,True,0,2,0,2
016735.pdf,016,ok,45776,Acrobat Distiller 7.0 (Windows),Adobe Acrobat 7.0,2005-08-17,2,638,,False,True,True,0,2,0,2
016870.pdf,016,ok,2839375,Acrobat Distiller 5.0.5 (Windows),Windows NT 4.0,2004-06-01,5,128,,False,True,True,0,2,0,2
016874.pdf,016,ok,409549,Adobe Acrobat 6.0,Adobe Acrobat 6.0,2005-11-17,1,1193,,False,True,True,0,2,0,2
016877.pdf,016,ok,151961,Acrobat Distiller 5.0 (Windows),PScript5.dll Version 5.2,2004-04-13,1,470,,False,True,True,0,2,0,2
016883.pdf,016,ok,562723,Acrobat Distiller 7.0 (Windows),Elsevier,2007-02-08,3,123,,False,True,True,0,2,0,2
016884.pdf,016,ok,128036,Acrobat Distiller 8.1.0 (Windows),Acrobat PDFMaker 8.1 for Word,2007-10-01,1,1329,,False,True,True,0,2,0,2
016802.pdf,016,ok,1797586,Acrobat Distiller 4.0 for Windows,Microsoft Word 8.0,2001-10-01,2,5291,,False,True,True,0,2,0,2
016803.pdf,016,ok,5234858,Acrobat Distiller 4.05 for Windows,3B2 Total Publishing System 7.51c/W,2002-04-20,2,3879,,False,True,True,0,2,0,2
016805.pdf,016,ok,659470,Acrobat Distiller 5.0.5 (Windows),Adobe PageMaker 7.0,2003-07-22,1,295,,False,True,True,0,2,0,2
016818.pdf,016,ok,254208,Acrobat Distiller 2.1 for Windows,,1996-09-18,1,1443,,False,True,True,0,2,0,2
016821.pdf,016,ok,62779,Acrobat Distiller 3.01 for Windows,AdobePS5.dll Version 5.1,1999-12-06,1,209,,False,True,True,0,2,0,2
016822.pdf,016,ok,73515,Acrobat Distiller 4.05 for Windows,,2001-06-12,4,69,,False,True,True,0,2,0,2
016847.pdf,016,ok,163538,Acrobat Distiller 7.0 (Windows),Acrobat PDFMaker 7.0 for Word,2007-06-13,10,985,,False,True,True,0,2,0,2
016859.pdf,016,ok,75179,Acrobat Distiller 4.0 for Windows,Microsoft Word 8.0,2001-01-23,11,115,,False,True,True,0,2,0,2
033009.pdf,033,ok,12809,Acrobat Net Distiller 1.0 for Windows,,2001-09-21,12,1425,,False,True,True,0,2,0,2
033015.pdf,033,ok,1927478,TextBridge(TM) http://www.scansoft.com,TextBridge(TM) http://www.scansoft.com,2001-11-27,18,3497,,False,False,True,0,2,0,2
033017.pdf,033,ok,256368,Acrobat Distiller 6.0.1 (Windows),PScript5.dll Version 5.2.2,2007-08-15,1,244,,False,True,True,0,2,0,2
