file,producer,institutional,score_P0_published,score_P1_converter_excl,score_P2_authoring_only,score_P3_author_or_editor
016552.pdf,Acrobat Distiller 6.0.1 (Windows),False,2,2,2,2
016555.pdf,JAWS PDFLib,False,2,2,2,2
016583.pdf,Acrobat Distiller 8.1.0 (Windows),False,0,0,0,0
016595.pdf,"Etymon PJ 1.10, Copyright (C) 1998-2000 Etymon Systems, Inc. <http://www.etymon.com/>. ",False,0,0,0,0
016611.pdf,Acrobat Distiller 5.0.5 (Windows),False,2,2,2,2
016612.pdf,Acrobat Distiller 5.0.5 for Macintosh,False,2,2,2,2
016613.pdf,Acrobat PDFWriter 3.02 for Windows,False,0,0,0,0
016614.pdf,Acrobat PDFWriter 4.05 for Windows,False,0,0,0,0
016459.pdf,Acrobat Distiller 5.0.5 (Windows),False,0,0,0,0
016460.pdf,Acrobat Distiller 8.1.0 (Windows),False,2,2,2,2
016461.pdf,Acrobat PDFWriter 5.0 for Windows NT,False,0,0,0,0
016462.pdf,Acrobat PDFWriter 2.11 for Windows,False,2,2,2,2
016463.pdf,Acrobat Distiller 4.05 for Macintosh,False,0,0,0,0
016464.pdf,Acrobat Distiller 6.0.1 (Windows),False,0,0,0,0
016465.pdf,AFPL Ghostscript 8.53,False,0,0,0,0
016466.pdf,Acrobat Distiller 5.0.5 (Windows),False,0,0,0,0
016467.pdf,Acrobat Distiller 7.0.5 (Windows),False,0,0,0,0
016468.pdf,Mac OS X 10.1.5 Quartz PDFContext,False,0,0,0,0
016469.pdf,Acrobat Distiller 4.0 for Windows,False,0,0,0,0
016470.pdf,Acrobat Distiller 6.0 (Windows),False,0,0,0,0
016471.pdf,pdfTeX-0.14f,False,0,0,0,0
016472.pdf,Acrobat Distiller 4.05 for Windows,False,2,2,2,2
016473.pdf,Acrobat Distiller 5.0.5 for Macintosh,False,0,0,0,0
016474.pdf,APJavaScript 2.2.1 Windows SPDF_1112 Oct  3 2005,False,0,0,0,0
016475.pdf,Acrobat Distiller 6.0 (Windows),False,2,2,2,2
016476.pdf,"Etymon PJ 1.10, Copyright (C) 1998-2000 Etymon Systems, Inc. <http://www.etymon.com/>. ",False,0,0,0,0
016477.pdf,Acrobat Distiller 7.0 (Windows),False,0,0,0,0
016478.pdf,Acrobat Distiller 7.0.5 (Windows),False,0,0,0,0
016433.pdf,Acrobat Distiller 5.0.5 (Windows),False,2,2,2,2
016438.pdf,Acrobat Distiller 7.0.5 (Windows),False,2,2,2,2
016439.pdf,Acrobat PDFWriter 5.0 for Windows,False,0,0,0,0
016442.pdf,Acrobat Distiller 6.0 (Windows),False,0,0,0,0
016443.pdf,Acrobat Distiller 5.0.5 (Windows),False,0,0,0,0
016444.pdf,Acrobat Distiller 7.0 (Windows),False,2,2,2,2
016445.pdf,Acrobat Distiller 8.1.0 (Windows),False,2,2,2,2
016446.pdf,Acrobat Distiller 8.1.0 (Windows),False,2,2,2,2
016447.pdf,Acrobat Distiller 3.0 for Windows,False,2,2,2,2
016448.pdf,Acrobat Distiller 5.0.5 (Windows),False,0,0,0,0
016449.pdf,Acrobat Distiller 8.0.0 (Windows),False,0,0,0,0
016450.pdf,Acrobat Distiller 5.00 for Macintosh,False,0,0,0,0
016451.pdf,pdfeTeX-1.20a,False,0,0,0,0
016452.pdf,Acrobat Distiller 4.0 for Windows,False,0,0,0,0
016453.pdf,Acrobat Distiller 5.0.5 (Windows),False,0,0,0,0
016454.pdf,Mac OS X 10.4.6 Quartz PDFContext,False,2,2,2,2
016455.pdf,Acrobat Distiller 7.0.5 (Windows),False,2,2,2,2
016456.pdf,Amyuni Document Converter,False,0,0,0,0
016457.pdf,Acrobat Distiller 7.0.5 (Windows),False,2,2,2,2
016458.pdf,Acrobat Distiller 6.0 (Windows),False,0,0,0,0
016615.pdf,Acrobat Distiller 5.0 (Windows),False,0,0,0,0
016616.pdf,Acrobat Distiller 4.0 for Windows,False,0,0,0,0
016617.pdf,Acrobat Distiller 4.0 for Windows,False,0,0,0,0
016619.pdf,Acrobat Distiller 4.0 for Windows,False,0,0,0,0
016620.pdf,Corel PDF Engine Version 11.4.0.100,False,0,0,0,0
016624.pdf,Acrobat Distiller 5.0 (Windows),False,0,0,0,0
016631.pdf,Acrobat Distiller 6.0 (Windows),False,2,2,2,2
016635.pdf,,False,0,0,0,0
016637.pdf,Acrobat Distiller 4.0 for Windows,False,0,0,0,0
016638.pdf,Acrobat Distiller 6.0 (Windows),False,0,0,0,0
016639.pdf,Acrobat Distiller 8.1.0 (Windows),False,2,2,2,2
016642.pdf,Acrobat Distiller 6.0.1 (Windows),False,0,0,0,0
016649.pdf,Acrobat Distiller 3.0 for Power Macintosh,False,0,0,0,0
016653.pdf,,False,2,2,2,2
016654.pdf,Acrobat Distiller 4.0 for Macintosh,False,0,0,0,0
016655.pdf,Acrobat Distiller 8.1.0 (Windows),True,3,0,0,0
016659.pdf,Acrobat Distiller 6.0 (Windows),False,0,0,0,0
016662.pdf,Acrobat Distiller 7.0 (Windows),False,0,0,0,0
016665.pdf,Acrobat Distiller 8.1.0 (Windows),False,0,0,0,0
016667.pdf,Acrobat PDFWriter 3.03 for Windows,False,0,0,0,0
016737.pdf,Acrobat Distiller 8.1.0 (Windows),False,0,0,0,0
016738.pdf,Acrobat Distiller 6.0 (Windows),False,2,2,2,2
016739.pdf,Acrobat Distiller 6.0.1 (Windows),False,2,2,2,2
016740.pdf,Acrobat PDFWriter 4.05 for Windows,False,0,0,0,0
016741.pdf,JAWS PDFLib,False,0,0,0,0
016742.pdf,Acrobat Distiller 8.1.0 (Windows),False,0,0,0,0
016743.pdf,Acrobat PDFWriter 3.02 for Windows NT,False,2,2,2,2
016744.pdf,Acrobat Distiller 7.0.5 (Windows),False,0,0,0,0
016745.pdf,,False,0,0,0,0
016746.pdf,www.adlibsys.com:EXD3145-W98,False,2,2,2,2
016747.pdf,Acrobat Distiller 6.0.1 (Windows),False,2,2,2,2
016748.pdf,www.adlibsys.com:EXD3145-W98,False,2,2,2,2
016749.pdf,,False,0,0,0,0
016750.pdf,Acrobat Distiller 4.0 for Windows,False,2,2,2,2
016751.pdf,www.adlibsoftware.com:EXS3167-Windows XP,False,0,0,0,0
016752.pdf,Acrobat Distiller 7.0 (Windows),False,0,0,0,0
016753.pdf,Acrobat PDFWriter 4.05 for Windows,False,2,2,2,2
016755.pdf,Acrobat Distiller 8.0.0 (Windows),False,0,0,0,0
016756.pdf,Acrobat PDFWriter 4.0 for Windows,False,0,0,0,0
016757.pdf,Corel PDF Engine Version 11.2.0.239,False,0,0,0,0
016668.pdf,Acrobat Distiller 3.0 for Power Macintosh,False,0,0,0,0
016670.pdf,www.adlibsoftware.com:EXS3183-Windows 2003:TNG,False,0,0,0,0
016671.pdf,Acrobat Distiller 8.1.0 (Windows),False,0,0,0,0
016676.pdf,Acrobat Distiller 5.0.5 (Windows),False,0,0,0,0
016683.pdf,Acrobat PDFWriter 3.02 for Windows NT,False,0,0,0,0
016684.pdf,Microsoft® Office Word 2007,False,0,0,0,0
016685.pdf,Acrobat Distiller 7.0.5 (Windows),False,0,0,0,0
016689.pdf,Acrobat Distiller 7.0.5 (Windows),False,0,0,0,0
016691.pdf,Acrobat Distiller 5.0 (Windows),False,0,0,0,0
016693.pdf,Acrobat Distiller 7.0.5 (Windows),False,0,0,0,0
016726.pdf,Acrobat PDFWriter 3.02 for Windows,False,0,0,0,0
016728.pdf,,False,0,0,0,0
016729.pdf,Oracle PDF driver,False,0,0,0,0
016730.pdf,Acrobat Distiller 6.0.1 (Windows),False,0,0,0,0
016731.pdf,Acrobat Distiller 8.1.0 (Windows),False,0,0,0,0
016732.pdf,Acrobat Distiller 8.1.0 (Windows),False,0,0,0,0
016733.pdf,Readiris Build 4658,False,0,0,0,0
016734.pdf,Acrobat Distiller 6.0 (Windows),False,0,0,0,0
016735.pdf,Acrobat Distiller 7.0 (Windows),False,2,2,2,2
016736.pdf,JAWS PDFLib,False,0,0,0,0
016860.pdf,Corel PDF Engine Version 9.395,False,0,0,0,0
016861.pdf,Acrobat Distiller 3.01 for Windows,False,0,0,0,0
016862.pdf,Acrobat Distiller 2.1 for Windows,False,0,0,0,0
016863.pdf,Acrobat Distiller 5.0 (Windows),False,0,0,0,0
016864.pdf,Acrobat Distiller 3.02,False,0,0,0,0
016866.pdf,Acrobat Distiller 5.0.5 (Windows),False,0,0,0,0
016868.pdf,Acrobat Distiller 6.0.1 (Windows),False,0,0,0,0
016869.pdf,Acrobat PDFWriter 4.0 for Windows NT,False,0,0,0,0
016870.pdf,Acrobat Distiller 5.0.5 (Windows),False,2,2,2,2
016871.pdf,Acrobat Distiller 6.0.1 (Windows),False,0,0,0,0
016872.pdf,Acrobat Distiller 7.0.5 (Windows),False,0,0,0,0
016873.pdf,Acrobat Distiller 6.0 (Windows),False,0,0,0,0
016874.pdf,Adobe Acrobat 6.0,False,2,2,2,2
016876.pdf,Corel PDF Engine Version 9.654,False,0,0,0,0
016877.pdf,Acrobat Distiller 5.0 (Windows),False,2,2,2,2
016878.pdf,Acrobat Distiller 7.0 (Windows),False,0,0,0,0
016880.pdf,Acrobat PDFWriter 3.02 for Windows,False,0,0,0,0
016881.pdf,Acrobat Distiller 6.0 (Windows),False,0,0,0,0
016883.pdf,Acrobat Distiller 7.0 (Windows),False,2,2,2,2
016884.pdf,Acrobat Distiller 8.1.0 (Windows),False,2,2,2,2
016758.pdf,Acrobat PDFWriter 5.0 for Windows NT,False,0,0,0,0
016759.pdf,Adobe PDF Library 7.0,False,0,0,0,0
016761.pdf,Acrobat Distiller 5.0.5 for Macintosh,False,0,0,0,0
016762.pdf,Acrobat Distiller 6.0.1 (Windows),False,0,0,0,0
016763.pdf,Acrobat Distiller 7.0 (Windows),False,0,0,0,0
016764.pdf,Acrobat Distiller 6.0.1 (Windows),False,0,0,0,0
016766.pdf,Adobe PDF Library 5.0,False,0,0,0,0
016767.pdf,Acrobat Distiller 5.0 (Windows),False,0,0,0,0
016770.pdf,Acrobat Distiller 8.0.0 (Windows),False,0,0,0,0
016773.pdf,pdfTeX-0.14h,False,0,0,0,0
016777.pdf,Acrobat Distiller 4.05 for Windows,False,0,0,0,0
016784.pdf,Acrobat Distiller 6.0.1 (Windows),False,0,0,0,0
016791.pdf,Acrobat Distiller 3.0 for Power Macintosh,False,0,0,0,0
016795.pdf,StampPDF Batch 2.7 for Solaris - SPDF 1045,False,0,0,0,0
016797.pdf,Acrobat Distiller 6.0.1 (Windows),False,0,0,0,0
016798.pdf,Acrobat Distiller 5.0 (Windows),False,0,0,0,0
016799.pdf,Acrobat Distiller 3.01 for Power Macintosh,False,0,0,0,0
016800.pdf,Acrobat Distiller 5.0.5 (Windows),False,0,0,0,0
016802.pdf,Acrobat Distiller 4.0 for Windows,False,2,2,2,2
016803.pdf,Acrobat Distiller 4.05 for Windows,False,2,2,2,2
016805.pdf,Acrobat Distiller 5.0.5 (Windows),False,2,2,2,2
016818.pdf,Acrobat Distiller 2.1 for Windows,False,2,2,2,2
016819.pdf,Acrobat Distiller Daemon 3.01 for Solaris 2.3 and later (SPARC),False,0,0,0,0
016820.pdf,Acrobat Distiller 4.05 for Windows,False,0,0,0,0
016821.pdf,Acrobat Distiller 3.01 for Windows,False,2,2,2,2
016822.pdf,Acrobat Distiller 4.05 for Windows,False,2,2,2,2
016824.pdf,Acrobat Distiller 3.0 for Power Macintosh,False,0,0,0,0
016832.pdf,Adobe PDF Library 7.0,False,0,0,0,0
016839.pdf,Acrobat PDFWriter 3.0 for Windows,False,0,0,0,0
016844.pdf,Acrobat Distiller 3.0 for Power Macintosh,False,0,0,0,0
016845.pdf,Acrobat Distiller 6.0 (Windows),False,0,0,0,0
016846.pdf,Acrobat Distiller 7.0 (Windows),False,0,0,0,0
016847.pdf,Acrobat Distiller 7.0 (Windows),False,2,2,2,2
016848.pdf,Acrobat Distiller 2.0 for Windows,False,0,0,0,0
016849.pdf,,False,0,0,0,0
016850.pdf,Acrobat Distiller 3.0 for Power Macintosh,False,0,0,0,0
016852.pdf,Adobe PDF Library 7.0,True,0,0,0,0
016856.pdf,Acrobat Distiller 6.0.1 (Windows),False,0,0,0,0
016858.pdf,,False,0,0,0,0
016859.pdf,Acrobat Distiller 4.0 for Windows,False,2,2,2,2
016885.pdf,Acrobat PDFWriter 3.02 for Windows NT,False,0,0,0,0
016914.pdf,Acrobat PDFWriter 3.02 for Windows,False,0,0,0,0
033000.pdf,Acrobat Distiller 4.0 for Windows,False,0,0,0,0
033002.pdf,Acrobat Distiller 4.0 for Windows,False,0,0,0,0
033004.pdf,Acrobat Distiller 4.0 for Windows,False,0,0,0,0
033005.pdf,Acrobat Net Distiller 1.0 for Windows,False,0,0,0,0
033006.pdf,Acrobat Distiller 4.0 for Windows,False,0,0,0,0
033008.pdf,Acrobat Distiller 6.0.1 (Windows),False,0,0,0,0
033009.pdf,Acrobat Net Distiller 1.0 for Windows,False,2,2,2,2
033010.pdf,Acrobat Distiller 3.01 for Windows,False,0,0,0,0
033011.pdf,Acrobat Distiller Command 3.01 for Solaris 2.3 and later (SPARC),False,0,0,0,0
033012.pdf,Oracle PDF driver,False,0,0,0,0
033013.pdf,Acrobat Distiller 6.0.1 (Windows),False,0,0,0,0
033014.pdf,Acrobat Distiller 3.0 for Power Macintosh,False,0,0,0,0
033015.pdf,TextBridge(TM) http://www.scansoft.com,False,2,2,2,2
033016.pdf,Acrobat Distiller 4.0 for Windows,False,0,0,0,0
033017.pdf,Acrobat Distiller 6.0.1 (Windows),False,2,2,2,2
033018.pdf,Acrobat Distiller 6.0 (Windows),False,0,0,0,0
033019.pdf,Corel PDF Engine Version 11.4.0.100,False,0,0,0,0
033021.pdf,OmniPage 12 http://www.scansoft.com,False,0,0,0,0
033022.pdf,Acrobat Distiller 4.0 for Windows,False,0,0,0,0
033023.pdf,Acrobat Distiller 4.0 for Windows,False,0,0,0,0
033024.pdf,Adobe Acrobat 6.0,False,0,0,0,0
033025.pdf,Acrobat Distiller 3.01 for Power Macintosh,False,2,2,2,2
033026.pdf,Acrobat Distiller 7.0 (Windows),False,2,2,2,2
033028.pdf,Acrobat Distiller 6.0 (Windows),False,0,0,0,0
033029.pdf,Acrobat Distiller 6.0.1 (Windows),False,0,0,0,0
033031.pdf,,False,0,0,0,0
033039.pdf,Acrobat PDFWriter 4.05 for Windows NT,False,0,0,0,0
033042.pdf,Oracle PDF driver,False,0,0,0,0
033048.pdf,Acrobat Distiller 5.0.5 (Windows),False,0,0,0,0
033051.pdf,Acrobat Distiller 7.0.5 (Windows),False,2,2,2,2
033056.pdf,Amyuni Document Converter,False,0,0,0,0
033148.pdf,Acrobat Distiller 4.05 for Macintosh,False,0,0,0,0
033151.pdf,Acrobat Distiller 7.0.5 (Windows),False,0,0,0,0
033152.pdf,Acrobat Distiller 8.0.0 (Windows),False,0,0,0,0
033153.pdf,Acrobat Distiller 5.0.5 (Windows),False,0,0,0,0
033154.pdf,Acrobat Distiller 4.0 for Windows,False,0,0,0,0
033155.pdf,Acrobat Distiller 4.0 for Windows,False,0,0,0,0
033156.pdf,Acrobat Distiller 7.0.5 for Macintosh,False,0,0,0,0
033157.pdf,Acrobat Distiller 8.1.0 (Windows),False,0,0,0,0
033158.pdf,Adobe Acrobat 8.1,False,0,0,0,0
033159.pdf,Adobe PDF Library 8.0,False,0,0,0,0
033160.pdf,Acrobat Distiller 8.1.0 (Windows),False,0,0,0,0
033161.pdf,Acrobat Distiller 4.0 for Windows,False,0,0,0,0
033162.pdf,Acrobat Distiller 4.0 for Windows,False,0,0,0,0
033163.pdf,Acrobat Distiller 7.0.5 for Macintosh,False,0,0,0,0
033164.pdf,Acrobat Distiller 5.0 (Windows),False,0,0,0,0
033166.pdf,Acrobat Distiller 7.0.5 (Windows),False,0,0,0,0
033167.pdf,Acrobat Distiller 6.0 (Windows),False,0,0,0,0
033168.pdf,Acrobat Distiller 6.0.1 (Windows),False,2,2,2,2
033169.pdf,Mac OS X 10.4.10 Quartz PDFContext,False,0,0,0,0
033170.pdf,Acrobat Distiller 5.0.5 (Windows),False,0,0,0,0
033171.pdf,Acrobat Distiller 6.0 (Windows),False,0,0,0,0
033172.pdf,Acrobat Distiller 6.0 (Windows),False,0,0,0,0
033173.pdf,Acrobat Distiller 7.0.5 (Windows),False,2,2,2,2
033174.pdf,Acrobat Distiller 5.0.5 (Windows),False,0,0,0,0
033175.pdf,,False,0,0,0,0
033176.pdf,Acrobat PDFWriter 4.05 for Windows NT,False,0,0,0,0
033177.pdf,Acrobat Distiller 6.0 (Windows),False,0,0,0,0
033526.pdf,Acrobat PDFWriter 2.0 for Macintosh,False,0,0,0,0
033527.pdf,Acrobat Distiller 6.0 (Windows),False,0,0,0,0
033528.pdf,Acrobat Web Capture 6.0,False,0,0,0,0
033529.pdf,Acrobat Distiller 5.0.5 (Windows),False,0,0,0,0
033530.pdf,Mac OS X 10.4.11 Quartz PDFContext,False,0,0,0,0
033531.pdf,Acrobat Distiller 6.0 (Windows),False,0,0,0,0
033532.pdf,Acrobat Distiller 7.0.5 (Windows),False,0,0,0,0
033533.pdf,GNU Ghostscript 7.05,True,0,0,0,0
033534.pdf,Acrobat Distiller 5.0.5 (Windows),False,0,0,0,0
033535.pdf,Acrobat Distiller 4.0 for Macintosh,False,0,0,0,0
033536.pdf,Acrobat Distiller 4.0 for Windows,False,0,0,0,0
033537.pdf,Acrobat Distiller 5.0.5 (Windows),False,0,0,0,0
033539.pdf,Acrobat Distiller 4.0 for Macintosh,False,0,0,0,0
033540.pdf,Acrobat PDFWriter 4.05 for Windows NT,False,0,0,0,0
033541.pdf,Acrobat Distiller 8.1.0 (Windows),False,0,0,0,0
033542.pdf,Acrobat Distiller 6.0.1 (Windows),False,0,0,0,0
033543.pdf,Acrobat PDFWriter 4.0 for Windows,False,0,0,0,0
033545.pdf,Adobe PDF Library 7.0,False,0,0,0,0
033546.pdf,Acrobat PDFWriter 4.0 for Windows,False,0,0,0,0
033547.pdf,Acrobat Distiller 4.05 for Windows,False,0,0,0,0
033302.pdf,Acrobat Distiller 6.0 (Windows),False,0,0,0,0
033308.pdf,Acrobat Distiller 2.1 for Power Macintosh,False,0,0,0,0
033309.pdf,Acrobat Distiller 4.0 for Windows,False,0,0,0,0
033310.pdf,Acrobat Distiller 5.0.5 (Windows),False,0,0,0,0
033311.pdf,Acrobat Distiller 7.0.5 (Windows),False,0,0,0,0
033312.pdf,,False,0,0,0,0
033313.pdf,Acrobat Distiller 5.0.5 (Windows),False,2,2,2,2
033314.pdf,Acrobat Distiller 4.05 for Windows,False,2,2,2,2
033316.pdf,Acrobat Distiller 4.0 for Windows,False,0,0,0,0
033317.pdf,Acrobat PDFWriter 4.0 for Power Macintosh,False,0,0,0,0
033318.pdf,GNU Ghostscript 7.05,False,0,0,0,0
033319.pdf,Acrobat Distiller 6.0.1 (Windows),False,0,0,0,0
033320.pdf,Acrobat Distiller 4.05 for Windows,False,0,0,0,0
033321.pdf,Acrobat Distiller 4.0 for Macintosh,False,2,2,2,2
033322.pdf,Acrobat Distiller 5.0.5 (Windows),False,0,0,0,0
033323.pdf,Acrobat Distiller 6.0.1 (Windows),False,0,0,0,0
033324.pdf,AFPL Ghostscript 8.14,False,0,0,0,0
033325.pdf,,False,0,0,0,0
033326.pdf,Acrobat Distiller 6.0.1 for Macintosh,False,0,0,0,0
033327.pdf,Acrobat Distiller Command 3.01 for Solaris 2.3 and later (SPARC),False,0,0,0,0
033328.pdf,Acrobat Distiller Command 3.01 for Solaris 2.3 and later (SPARC),False,0,0,0,0
033329.pdf,Acrobat Distiller 6.0 (Windows),False,0,0,0,0
033330.pdf,Acrobat Distiller 7.0.5 (Windows),False,0,0,0,0
033331.pdf,Adobe PDF Library 8.0,False,0,0,0,0
033332.pdf,Adobe Acrobat 7.08 Paper Capture Plug-in,True,3,0,0,0
033333.pdf,Acrobat Distiller 5.0 (Windows),False,0,0,0,0
033334.pdf,Adobe PDF Library 7.0,False,0,0,0,0
033335.pdf,Acrobat Distiller 5.0 (Windows),False,0,0,0,0
033336.pdf,Acrobat Distiller 5.0.5 (Windows),False,2,2,2,2
033337.pdf,Acrobat PDFWriter 5.0 for Windows,False,0,0,0,0
033338.pdf,Acrobat Distiller 7.0 (Windows),False,0,0,0,0
033339.pdf,Acrobat PDFWriter 4.0 for Windows NT,False,0,0,0,0
033340.pdf,Acrobat Distiller 5.0.5 (Windows),False,2,2,2,2
033341.pdf,Acrobat Distiller 4.05 for Macintosh,False,0,0,0,0
033342.pdf,AFPL Ghostscript 8.54,False,0,0,0,0
033343.pdf,Acrobat Distiller 4.05 for Windows,False,0,0,0,0
033344.pdf,AFPL Ghostscript 8.14,False,0,0,0,0
033351.pdf,Acrobat Distiller 5.0.5 (Windows),False,0,0,0,0
033360.pdf,Acrobat Distiller 7.0 (Windows),False,0,0,0,0
033420.pdf,Acrobat PDFWriter 3.02 for Windows,False,0,0,0,0
033548.pdf,Acrobat Distiller 2.0 for Macintosh,False,0,0,0,0
033549.pdf,Acrobat Distiller 5.0.5 (Windows),False,0,0,0,0
033550.pdf,Acrobat Distiller 3.01 for Power Macintosh,False,0,0,0,0
033551.pdf,Acrobat Distiller 6.0 (Windows),False,0,0,0,0
033552.pdf,Acrobat Distiller 4.0 for Windows,False,0,0,0,0
033553.pdf,Acrobat Distiller 5.0 (Windows),False,0,0,0,0
033554.pdf,Acrobat PDFWriter 4.0 for Power Macintosh,False,0,0,0,0
033555.pdf,www.inputsolutions.com,False,0,0,0,0
033556.pdf,Acrobat Distiller 5.0 (Windows),False,0,0,0,0
033557.pdf,Acrobat Distiller 2.0 for Power Macintosh,False,2,2,2,2
033558.pdf,Acrobat Distiller 3.01 for Windows,False,0,0,0,0
033559.pdf,StampPDF Batch 2.7 for Solaris - SPDF 1045,False,0,0,0,0
033560.pdf,Acrobat Distiller 6.0 (Windows),False,0,0,0,0
033561.pdf,Antenna House PDF Output Library 2.4.0 (Linux),False,2,2,2,2
033562.pdf,Adobe PDF Library 6.0,False,0,0,0,0
033563.pdf,Acrobat Distiller 8.0.0 (Windows),False,2,2,2,2
033564.pdf,Acrobat PDFWriter 4.0 for Windows NT,False,0,0,0,0
033565.pdf,Adobe PDF Library 7.0,False,0,0,0,0
033566.pdf,Acrobat Distiller 5.0.5 (Windows),False,2,2,2,2
033567.pdf,Acrobat Distiller 5.0 (Windows),False,0,0,0,0
033568.pdf,Antenna House PDF Output Library 2.4.0 (Linux),False,2,2,2,2
033569.pdf,Acrobat Distiller 6.0.1 (Windows),False,0,0,0,0
033570.pdf,Adobe Acrobat 8.1,False,0,0,0,0
033571.pdf,Acrobat Distiller 3.01 para Windows,False,0,0,0,0
033572.pdf,Acrobat PDFWriter 4.0 Windows NT,False,0,0,0,0
033628.pdf,Acrobat Distiller 7.0.5 (Windows),False,0,0,0,0
033629.pdf,Acrobat Distiller 7.0 (Windows),False,2,2,2,2
033630.pdf,Acrobat Distiller 5.0.5 (Windows),False,0,0,0,0
033631.pdf,Acrobat Distiller 7.0.5 (Windows),False,0,0,0,0
033655.pdf,Acrobat Distiller 6.0.1 (Windows),False,0,0,0,0
033658.pdf,Acrobat Distiller 5.0.5 (Windows),False,0,0,0,0
033684.pdf,Acrobat Distiller 6.0 (Windows),False,0,0,0,0
033685.pdf,Acrobat Distiller 7.0.5 (Windows),False,0,0,0,0
033686.pdf,Acrobat Distiller 6.0 (Windows),False,0,0,0,0
033687.pdf,Antenna House PDF Output Library 2.4.0 (Linux),False,2,2,2,2
033688.pdf,Acrobat Distiller 8.1.0 (Windows),False,0,0,0,0
033689.pdf,Acrobat Distiller 7.0 (Windows),False,0,0,0,0
033690.pdf,Acrobat Distiller 4.05 for Windows,False,2,2,2,2
033691.pdf,Acrobat Distiller 5.0.5 (Windows),False,2,2,2,2
033692.pdf,Acrobat PDFWriter 5.0 for Windows NT,False,2,2,2,2
033714.pdf,Acrobat Distiller 2.1 for Windows,False,0,0,0,0
033715.pdf,Acrobat PDFWriter 3.02 for Windows,False,0,0,0,0
033716.pdf,Acrobat Distiller 2.1 for Windows,False,0,0,0,0
033717.pdf,JAWS PDFLib,False,2,2,2,2
033718.pdf,Acrobat Distiller 4.0 for Macintosh,False,0,0,0,0
033719.pdf,Oracle PDF driver,False,0,0,0,0
033720.pdf,Acrobat Distiller 5.0 (Windows),False,0,0,0,0
033721.pdf,AFPL Ghostscript 8.54,False,0,0,0,0
033722.pdf,Acrobat Distiller 2.1 for Windows,False,2,2,2,2
033723.pdf,Acrobat PDFWriter 3.02 for Windows,False,0,0,0,0
033724.pdf,Acrobat PDFWriter 4.0 for Windows,False,0,0,0,0
033728.pdf,Acrobat PDFWriter 5.0 for Windows NT,False,2,2,2,2
033745.pdf,Corel PDF Engine Version 9.543,False,0,0,0,0
033746.pdf,Acrobat Distiller 8.0.0 (Windows),False,0,0,0,0
033749.pdf,Acrobat Distiller 4.0 for Windows,False,0,0,0,0
033750.pdf,Acrobat Distiller 5.0.5 (Windows),True,5,2,2,2
033751.pdf,Acrobat Distiller 6.0.1 (Windows),False,0,0,0,0
033758.pdf,Corel PDF Engine Version 10.719,False,0,0,0,0
033759.pdf,Acrobat Distiller 8.1.0 (Windows),False,0,0,0,0
033762.pdf,Acrobat PDFWriter 4.05 for Windows NT,False,0,0,0,0
033764.pdf,Acrobat Distiller 5.0.5 (Windows),False,0,0,0,0
033790.pdf,Acrobat Distiller 8.1.0 (Windows),False,0,0,0,0
033791.pdf,Acrobat Distiller 6.0 (Windows),False,0,0,0,0
033792.pdf,Acrobat Distiller 6.0.1 (Windows),False,2,2,2,2
033793.pdf,Acrobat Distiller 7.0.5 (Windows),False,0,0,0,0
033794.pdf,Acrobat Distiller 3.01 for Power Macintosh,False,2,2,2,2
033795.pdf,Acrobat PDFWriter 3.02 for Windows,False,0,0,0,0
033796.pdf,Acrobat Distiller 2.1 for Windows,False,2,2,2,2
033797.pdf,Acrobat Distiller 7.0.5 (Windows),False,0,0,0,0
033798.pdf,Acrobat Distiller 6.0 (Windows),False,0,0,0,0
033799.pdf,Acrobat Distiller 8.0.0 (Windows),False,2,2,2,2
033800.pdf,Mac OS X 10.4.6 Quartz PDFContext,False,0,0,0,0
033801.pdf,Acrobat Distiller 7.0.5 for Macintosh,False,2,2,2,2
033802.pdf,Acrobat PDFWriter 3.02 for Windows,False,0,0,0,0
033803.pdf,OpenOffice.org 2.0,False,0,0,0,0
033804.pdf,Acrobat Distiller 7.0.5 (Windows),False,0,0,0,0
033805.pdf,Acrobat Distiller 7.0 (Windows),False,0,0,0,0
033806.pdf,PDFlib PLOP 2.0.0p6 (SunOS)/Acrobat Distiller 6.0 for Macintosh,False,0,0,0,0
033807.pdf,Acrobat PDFWriter 5.0 for Windows NT,False,0,0,0,0
033808.pdf,Acrobat Distiller 7.0.5 (Windows),False,0,0,0,0
038148.pdf,JAWS PDFLib,False,2,2,2,2
038157.pdf,Acrobat Distiller 7.0.5 (Windows),False,0,0,0,0
038170.pdf,Acrobat Distiller 5.0 (Windows),False,0,0,0,0
038176.pdf,Adobe PDF Library 4.0,False,0,0,0,0
038179.pdf,Acrobat Distiller 4.05 for Windows,False,0,0,0,0
038180.pdf,JAWS PDFLib,False,2,2,2,2
038182.pdf,Acrobat Distiller 7.0.5 (Windows),False,0,0,0,0
038230.pdf,GPL Ghostscript 8.61,False,0,0,0,0
038231.pdf,Acrobat Distiller 5.0.5 (Windows),False,2,2,2,2
038232.pdf,GPL Ghostscript 8.61,False,0,0,0,0
038244.pdf,Acrobat Distiller 4.0 for Windows,False,0,0,0,0
038245.pdf,Acrobat Distiller 4.0 for Windows,False,0,0,0,0
038248.pdf,Acrobat 3.0 Import Plug-in,False,2,2,2,2
