file,producer,institutional,score_P0_published,score_P1_converter_excl,score_P2_authoring_only,score_P3_author_or_editor
001097.pdf,Acrobat Distiller 6.0 (Windows),False,2,2,2,2
001099.pdf,StampPDF Batch 3.0 Windows SPDF_1085 Oct 13 2003,False,2,2,2,2
001103.pdf,Acrobat Distiller 5.0.5 (Windows),False,0,0,0,0
001106.pdf,,False,0,0,0,0
001107.pdf,Adobe Acrobat 7.08 Paper Capture Plug-in,False,0,0,0,0
001116.pdf,Acrobat Distiller 5.0.5 (Windows),False,0,0,0,0
001117.pdf,Acrobat Distiller 7.0.5 (Windows),False,2,2,2,2
001124.pdf,,True,0,0,3,3
001127.pdf,Acrobat PDFWriter 2.01 for Windows,False,0,0,0,0
001129.pdf,Acrobat Distiller 5.0.5 (Windows),False,2,2,2,2
001131.pdf,Adobe Photoshop for Macintosh -- Image Conversion Plug-in,False,0,0,0,0
001132.pdf,Adobe PDF Library 6.0,False,2,2,2,2
001134.pdf,Acrobat Distiller 6.0 (Windows),False,0,0,0,0
001135.pdf,Acrobat PDFWriter 4.0 for Windows,False,0,0,0,0
001373.pdf,StampPDF Batch 3.2.1 Solaris_x86 SPDF_1092 Jan 30 2004,False,0,0,0,0
001374.pdf,Acrobat Distiller 3.02 for Power Macintosh,False,0,0,0,0
001375.pdf,Acrobat PDFWriter 3.02 for Windows NT,False,0,0,0,0
001376.pdf,Acrobat Distiller 2.1 for Windows,False,2,2,2,2
001377.pdf,Mac OS X 10.5.2 Quartz PDFContext,False,2,2,2,2
001378.pdf,Acrobat Distiller 5.0.5 (Windows),False,2,2,2,2
001379.pdf,Acrobat Distiller 5.0.5 (Windows),False,0,0,0,0
001380.pdf,Acrobat Distiller 6.0 (Windows),False,0,0,0,0
001381.pdf,Acrobat Distiller 6.0.1 (Windows),False,0,0,0,0
001382.pdf,Acrobat PDFWriter 5.0 for Windows,False,0,0,0,0
001383.pdf,Acrobat Distiller 4.05 for Windows,False,2,2,2,2
001384.pdf,Acrobat PDFWriter 3.0 for Windows,False,0,0,0,0
001385.pdf,Acrobat Distiller 5.0.5 for Macintosh,False,2,2,2,2
001386.pdf,Acrobat Distiller 8.0.0 (Windows),False,0,0,0,0
001387.pdf,Acrobat Distiller 6.0 (Windows),False,0,0,0,0
001388.pdf,Acrobat Distiller 7.0.5 (Windows),False,0,0,0,0
001389.pdf,Acrobat Distiller 3.0 for Windows,False,0,0,0,0
001390.pdf,Acrobat PDFWriter 2.01 for Windows,False,0,0,0,0
001391.pdf,Acrobat Distiller 5.0.5 (Windows),False,0,0,0,0
001392.pdf,Acrobat PDFWriter 2.01 for Windows,False,0,0,0,0
001501.pdf,Acrobat Distiller 7.0.5 (Windows),False,0,0,0,0
001503.pdf,Acrobat Distiller 3.01 for Windows,False,0,0,0,0
001504.pdf,Acrobat Distiller 5.0.5 (Windows),False,0,0,0,0
001505.pdf,Acrobat Distiller 5.0 (Windows),False,0,0,0,0
001506.pdf,Acrobat Distiller 6.0 (Windows),False,0,0,0,0
001508.pdf,Acrobat Distiller 6.0 (Windows),False,0,0,0,0
001509.pdf,Acrobat PDFWriter 4.0 for Windows NT,False,0,0,0,0
001510.pdf,Acrobat PDFWriter 5.0 for Windows NT,False,0,0,0,0
001511.pdf,Acrobat Distiller 5.0.5 (Windows),False,0,0,0,0
001512.pdf,Acrobat Distiller 7.0.5 (Windows),False,0,0,0,0
001514.pdf,Acrobat Distiller 7.0 (Windows),False,2,2,2,2
001528.pdf,Acrobat Distiller 2.1 for Windows,False,0,0,0,0
001564.pdf,Acrobat Distiller 7.0.5 (Windows),False,0,0,0,0
001565.pdf,Acrobat Distiller 7.0.5 (Windows),False,0,0,0,0
001644.pdf,Acrobat Distiller 6.0 (Windows),False,2,2,2,2
001647.pdf,Acrobat Distiller 6.0 (Windows),False,2,2,2,2
001649.pdf,Acrobat Distiller 7.0.5 (Windows),False,0,0,0,0
001650.pdf,Acrobat Distiller 6.0.1 (Windows),False,0,0,0,0
001655.pdf,,False,0,0,0,0
001656.pdf,Acrobat Distiller 5.0.5 (Windows),False,0,0,0,0
001657.pdf,Adobe Acrobat 6.02 Image Conversion Plug-in,False,0,0,0,0
001658.pdf,,False,2,2,2,2
001659.pdf,,False,2,2,2,2
001660.pdf,Acrobat Distiller 6.0 (Windows),False,0,0,0,0
001661.pdf,Acrobat Distiller 7.0.5 (Windows),False,0,0,0,0
001663.pdf,Acrobat Distiller 4.0 for Windows,False,0,0,0,0
001664.pdf,Acrobat Distiller 6.0 (Windows),False,0,0,0,0
001665.pdf,Acrobat Distiller 4.0 for Windows,False,0,0,0,0
001666.pdf,Acrobat Distiller 8.1.0 (Windows),False,0,0,0,0
001668.pdf,Acrobat Distiller 7.0.5 (Windows),False,0,0,0,0
001669.pdf,,False,2,2,2,2
001670.pdf,Acrobat PDFWriter 3.02 for Windows,False,0,0,0,0
001672.pdf,iText by lowagie.com (r1.01;p126),False,2,2,2,2
001673.pdf,Acrobat Distiller 8.0.0 (Windows),False,2,2,2,2
001674.pdf,Acrobat Distiller 6.0 (Windows),False,0,0,0,0
001675.pdf,iText by lowagie.com (r1.01;p126),False,0,0,0,0
001676.pdf,Acrobat Distiller 6.0 (Windows),False,0,0,0,0
001677.pdf,Acrobat Distiller 5.0.5 (Windows),False,2,2,2,2
001678.pdf,Acrobat Distiller 6.0 (Windows),False,0,0,0,0
001679.pdf,Acrobat Distiller 6.0 (Windows),False,2,2,2,2
001406.pdf,Acrobat PDFWriter 3.02 for Windows,False,0,0,0,0
001418.pdf,Acrobat Distiller 8.0.0 (Windows),False,0,0,0,0
001465.pdf,Acrobat Distiller 7.0.5 (Windows),False,0,0,0,0
001466.pdf,Acrobat Distiller 3.01 for Windows,False,0,0,0,0
001467.pdf,Acrobat Distiller 7.0.5 (Windows),False,0,0,0,0
001481.pdf,Acrobat Distiller 5.0.5 (Windows),False,0,0,0,0
001482.pdf,Acrobat Distiller 6.0 (Windows),False,0,0,0,0
001483.pdf,Apogee Create Series3 v1.0,True,2,2,2,2
001484.pdf,Acrobat Distiller 6.0.1 (Windows),False,0,0,0,0
001487.pdf,Acrobat PDFWriter 4.0 for Windows,False,2,2,2,2
001488.pdf,AFPL Ghostscript 8.50,False,0,0,0,0
001489.pdf,Acrobat Distiller 5.0.5 (Windows),False,0,0,0,0
001490.pdf,Acrobat Distiller 8.1.0 (Windows),True,3,0,0,0
001492.pdf,Acrobat Distiller 4.05 for Windows,False,0,0,0,0
001493.pdf,Acrobat Distiller 6.0.1 (Windows),False,2,2,2,2
001494.pdf,Aladdin Ghostscript 5.50,False,0,0,0,0
001495.pdf,Acrobat Distiller 4.05 for Windows,False,0,0,0,0
001497.pdf,OmniPage Pro 14 http://www.scansoft.com,False,0,0,0,0
001498.pdf,Acrobat Web Capture 4.0,False,0,0,0,0
001499.pdf,Acrobat Distiller 7.0.5 (Windows),False,0,0,0,0
001281.pdf,Acrobat Distiller 4.0 for Windows,False,0,0,0,0
001284.pdf,Acrobat PDFWriter 3.0 for Power Macintosh,False,0,0,0,0
001285.pdf,Acrobat Distiller 6.0 (Windows),False,2,2,2,2
001286.pdf,Acrobat Distiller 4.0 for Macintosh,False,0,0,0,0
001288.pdf,Acrobat Distiller 6.0 (Windows),False,2,2,2,2
001290.pdf,Acrobat Distiller 7.0 (Windows),False,2,2,2,2
001291.pdf,Acrobat Distiller 6.0.1 (Windows),False,0,0,0,0
001292.pdf,Acrobat Distiller 5.0.5 (Windows),False,0,0,0,0
001293.pdf,GNU Ghostscript 7.07 / pdcat (www.glance.ch),False,0,0,0,0
001294.pdf,Acrobat Distiller Daemon 3.01 for Solaris 2.3 and later (SPARC),False,2,2,2,2
001296.pdf,AFPL Ghostscript 7.03,False,0,0,0,0
001297.pdf,Acrobat Distiller 4.0 for Windows,False,0,0,0,0
001298.pdf,Mac OS X 10.4.8 Quartz PDFContext,False,0,0,0,0
001299.pdf,Acrobat Distiller 5.0 (Windows),False,2,2,2,2
001300.pdf,Acrobat Distiller 5.0.5 (Windows),False,0,0,0,0
001301.pdf,Acrobat Distiller 5.0.5 (Windows),False,2,2,2,2
001302.pdf,Acrobat Distiller 4.05 for Windows,False,0,0,0,0
001303.pdf,Acrobat Distiller 7.0 (Windows),False,0,0,0,0
001304.pdf,Acrobat Distiller Daemon 3.01 for Solaris 2.3 and later (SPARC),False,0,0,0,0
001305.pdf,Acrobat Distiller 7.0 (Windows),False,2,2,2,2
001680.pdf,Acrobat Distiller 5.0.5 for Macintosh,False,0,0,0,0
001681.pdf,Acrobat Distiller 5.0 (Windows),False,0,0,0,0
